,vmax_forward_Enz_A,vmax_forward_Enz_B,vmax_forward_Enz_C,vmax_forward_Enz_D,vmax_forward_Enz_E,vmax_forward_Enz_F,vmax_forward_Enz_G,vmax_forward_Enz_H,vmax_forward_Enz_L,vmax_forward_TKT2,vmax_forward_RPI,vmax_forward_PDH,vmax_forward_CS,km_substrate2_TKT2,km_substrate1_PDH,km_substrate1_Enz_A,km_substrate2_Enz_A,vmax_forward_Enz_I,km_substrate1_Enz_I,Enz_I
0,0.9264697,0.9841511,1.1317195,1.2719942,1.1342425,1.3510219,1.7514633,1.7925937,0.8190694,0.84943664,0.9969934,1.0031309,1.0264347,1.0740883,1.2109321,1.1355667,1.0243921,1.1190804,1.0038366,0.8637807105700767
1,1.4003441,1.4979511,1.6768206,1.2070653,1.2596501,0.6891004,1.3422307,0.90526944,1.388494,1.457383,1.0365045,1.0130377,1.009684,1.8575443,1.1877296,2.5268865,0.98378074,0.975039,1.0197089,0.6364595219067
2,1.6730493,1.3060013,1.1988107,1.4486048,1.5545216,1.5433766,1.8720952,1.6548016,1.2344813,0.51296055,1.0702028,1.0100684,0.97218317,0.7377463,1.1272954,2.3030207,0.97380495,0.8614483,0.9989329,1.486448218553816
3,1.684735,1.734933,1.6708525,1.5189538,1.4882168,1.1828051,1.3121786,1.3370636,0.6694,2.4581766,1.0609716,1.0009332,1.0196761,2.3432713,1.2279943,2.698884,1.0000955,0.9920363,1.0132092,0.5232228707607087
4,1.263299,1.436411,1.1244959,1.380229,1.5731246,1.0507243,1.6428167,1.0106091,1.9232087,0.9665023,1.0710373,1.0053082,1.0110521,0.42373586,1.1626198,2.1804705,1.0002449,0.97456515,1.0078404,0.38983630342309306
5,1.6965123,0.7847439,1.0379641,0.97574925,1.4352803,1.423278,1.4182525,1.5804405,0.54202044,1.6924713,1.0589565,0.99614966,1.0109116,0.58475906,1.1765834,1.3920221,0.98303413,0.9739568,1.0206356,0.6105695934847022
6,0.6117265,1.2056394,0.98813236,1.3759,1.2246712,1.2472876,1.7201699,1.4665799,1.5088253,2.6857939,1.0453562,0.9909431,1.0279095,1.9041134,1.2782123,0.34108564,1.0507001,1.1744888,0.9716559,0.7719801619641866
7,1.3065015,1.2575656,1.3348953,0.645442,1.7993398,1.1906742,0.9258313,0.99261826,1.8346584,1.3159156,1.074203,0.99077654,0.998844,0.62197,1.1470488,1.6926681,1.0039432,1.0592625,1.0096,0.4443532035946389
8,1.3243406,1.4593669,0.78046596,1.0973849,1.7418402,1.860638,0.83029044,0.7527841,1.7363398,2.4858985,1.0664424,0.97667044,0.9991707,1.6282775,1.16723,2.0360572,0.99715537,0.9887836,1.0075314,0.43261215089894733
9,1.0942643,1.9277831,1.4459268,1.1372027,1.3698545,1.6629164,0.6706778,0.9754161,1.4854119,2.3652604,1.0343807,0.9906986,1.0215089,2.670206,1.186624,2.8113127,1.0101283,1.0684501,0.9978291,0.3298584745683788
10,1.9583013,1.1180006,1.5513245,0.94827664,1.3528112,0.68466496,1.6733261,1.379916,1.3601894,0.695781,1.060945,1.0199163,0.98122346,1.2197157,1.1160954,2.0589416,0.95137525,0.837831,1.0252286,1.4859405629843185
11,1.598398,0.8278066,1.2507206,0.88775516,1.0940311,1.15499,1.4270796,1.597964,0.86222076,0.61445653,0.9920902,1.009799,0.98029345,2.3346815,1.1274842,1.656726,0.96657926,0.9218667,1.0196614,1.471238990011663
12,1.3903756,1.2283381,1.1679622,0.9599862,1.2935989,0.95243514,1.09655,0.89538985,1.6660037,1.9969757,1.0442171,1.0025988,1.0068922,2.2194653,1.1565363,2.718465,0.9933343,0.9932729,1.0049816,0.49097225358367325
13,0.5666571,0.995162,1.0124903,0.7650962,1.0712284,0.8710021,1.0177946,0.89673525,1.225038,1.8475323,1.008661,1.0011902,1.043088,1.6994095,1.2388561,0.61282045,1.0275047,1.1640716,0.9798374,0.5576851101619731
14,1.9497988,1.2011377,1.4738342,1.2158885,1.1532497,0.82529545,1.3765446,1.3355277,1.2579056,3.011189,1.1202152,1.0008774,0.9933226,1.6114277,1.1675313,1.4255124,0.9754137,0.8895711,0.9992259,0.90264034679176
15,0.60007226,1.6441134,1.3343772,1.7317958,1.0386038,1.4069955,1.1660268,1.274514,0.80008125,2.4662688,1.0294894,0.9935308,1.0522263,2.194732,1.2813259,1.6214858,1.0473647,1.1766605,0.97782534,0.22006718327930486
16,1.2384756,1.6133333,1.256853,1.3132765,1.510484,1.1298438,1.2034981,0.7898522,1.5666451,1.0414262,1.0295435,1.0003618,0.9910531,2.2044182,1.1797242,1.2295275,0.98126066,0.9225001,1.008091,1.4809896290528792
17,1.7708972,1.0246168,1.1078488,0.6640172,1.3958968,1.5664337,0.53675807,0.9681904,1.4952135,1.2339201,1.0096269,0.98729855,0.95290494,2.9914815,1.0658481,2.5346613,0.9562274,0.8876024,1.0281914,1.1974100633622957
18,0.6946937,1.6226765,0.7885989,2.0571148,1.4255606,1.7150153,0.89191663,0.61872864,0.95459974,2.8280535,1.0884361,0.97781944,1.0466667,1.260413,1.2811161,1.5123951,1.0297835,1.0686916,0.98116034,0.20485319687786552
19,1.2763813,1.3485559,0.88875616,1.4396274,1.6755693,1.5802301,1.1252074,0.79067785,0.84197164,0.49584195,1.0155908,0.9964884,0.98209953,1.9392754,1.1813191,1.3196222,0.9690855,0.8740863,1.0083755,1.4854460835409165
20,0.4035815,1.4986593,1.6514174,0.7297189,0.965817,0.7683796,1.3242146,1.3891609,1.4009023,1.1912806,0.9958568,1.014476,1.0607407,1.1705828,1.2392743,0.7157922,1.0475732,1.253556,0.9764573,0.3591061740106798
21,1.6584655,0.8982793,0.7764801,1.2076275,1.4477327,1.8640527,1.7500085,1.682621,1.5953231,0.50170135,1.0486082,0.9972947,0.94798565,1.0604454,1.0801964,1.6885544,0.96372426,0.8388928,1.0073863,1.509898700136445
22,1.2178619,1.4213525,1.4465314,1.6266737,1.1074249,1.1888884,1.325988,1.4026175,0.46903917,1.900027,1.0520966,0.9990219,1.0364436,0.9977444,1.2341096,1.1571195,1.0153533,1.0552586,0.99850965,0.5516018919202831
23,1.6966205,1.2530829,1.4631776,0.77173686,1.2781441,1.2037165,0.7870455,1.1839416,0.61418366,2.465997,1.064501,0.99619776,1.0133128,1.6095983,1.1819792,1.1669872,0.9761683,0.96753365,1.0077891,0.9647297611949321
